url	title	date	author	up	normal	down	img_list	ip	
https://www.ptt.cc/bbs/Beauty/M.1409762152.A.54E.html	[帥哥] 好帥氣的暖男	2014-09-04 00:35:49	niyuanyuan	8	7	1	http://i.imgur.com/NgewYqt.jpg;http://i.imgur.com/9ekeRAK.jpg;http://i.imgur.com/1b1kzUg.jpg;http://i.imgur.com/tKMQmw8.jpg;http://i.imgur.com/iMDFnZQ.jpg;http://i.imgur.com/RTEA12e.jpg	223.136.223.49	Yilan
https://www.ptt.cc/bbs/Beauty/M.1411399483.A.70F.html	[帥哥] 50歲的日本主唱--稻葉浩志	2014-09-22 23:24:40	shanyaochung	61	2	0	http://i.imgur.com/C974kNI.jpg;http://i.imgur.com/995RtaK.jpg;http://i.imgur.com/UDV9Efs.jpg;http://i.imgur.com/u3a9fBO.jpg;http://i.imgur.com/7gIDkt1.jpg	118.160.164.218	Banqiao
https://www.ptt.cc/bbs/Beauty/M.1411892297.A.497.html	[帥哥] 暖	2014-09-28 16:18:15	mownar	29	15	7	http://i.imgur.com/p3CUz9c.jpg	1.164.149.240	Taipei
https://www.ptt.cc/bbs/Beauty/M.1412334907.A.8C2.html	[帥哥] 海陸戰隊>///<	2014-10-03 19:15:05	erhumm	35	23	7	http://i.imgur.com/thMdWCo.jpg;http://i.imgur.com/uCaGQco.jpg;http://i.imgur.com/rZc6von.jpg;http://i.imgur.com/PAQnz16.jpg;http://i.imgur.com/6FKQ3Pe.jpg;http://i.imgur.com/3iLW6lu.jpg;http://i.imgur.com/uYQRpOD.jpg;http://i.imgur.com/jz8Hed0.jpg	110.27.154.219	Pingtung
https://www.ptt.cc/bbs/Beauty/M.1413564158.A.036.html	[帥哥] 就是個13歲的(正太)風箏衝浪冠軍...	2014-10-18 00:42:34	emulli	1	3	4	http://i.imgur.com/QJX2UGD.jpg;http://i.imgur.com/AV1ZwXE.jpg;http://i.imgur.com/AV1ZwXE.jpg;http://i.imgur.com/AV1ZwXE.jpg;http://i.imgur.com/QJX2UGD.jpg;http://i.imgur.com/QJX2UGD.jpg;http://i.imgur.com/4m0fYhV.jpg;http://i.imgur.com/4m0fYhV.jpg;http://i.imgur.com/4m0fYhV.jpg	1.163.235.193	Zhubei
https://www.ptt.cc/bbs/Beauty/M.1413979823.A.376.html	[帥哥] 清新牙套帥哥	2014-10-22 20:10:21	lin6lin9	14	9	8	http://i.imgur.com/3IpDHxN.jpg;http://i.imgur.com/hWG9Z6B.jpg;http://i.imgur.com/AaYN58C.jpg;http://i.imgur.com/oRXv2wb.jpg;http://i.imgur.com/cFOHjNv.jpg;http://i.imgur.com/JYNYxII.jpg	42.77.7.194	Taichung
https://www.ptt.cc/bbs/Beauty/M.1414205855.A.4C5.html	[帥哥] 調酒師	2014-10-25 10:57:32	eeveechung	1	1	3	http://i.imgur.com/TJeaOvR.jpg	24.2.125.52	Pittsburgh
https://www.ptt.cc/bbs/Beauty/M.1416229124.A.CC8.html	[帥哥] River Phoenix  瑞凡·費尼克斯	2014-11-17 20:58:41	srwcc	6	3	0	http://i.imgur.com/SwI4y3Z.jpg;http://i.imgur.com/iTjSmS2.jpg;http://i.imgur.com/99NnrVs.jpg;http://i.imgur.com/pnrfAKs.jpg;http://i.imgur.com/PNIHC6H.jpg;http://i.imgur.com/ATz4CKc.jpg;http://i.imgur.com/wLynB0f.jpg;http://i.imgur.com/lneCKFV.jpg;http://i.imgur.com/v0jwPA0.jpg	42.75.93.252	Chang-hua
https://www.ptt.cc/bbs/Beauty/M.1416639712.A.3EE.html	[帥哥] 跪求貌似高以翔帥哥臉書,IG	2014-11-22 15:01:50	a8n6i9123456	0	2	1	http://i.imgur.com/03n3YqA.jpg	42.75.233.234	Miaoli
https://www.ptt.cc/bbs/Beauty/M.1416677303.A.C16.html	[帥哥] 我的外公	2014-11-23 01:28:18	kevin310007	32	9	6	http://i.imgur.com/RgVZTkf.jpg;http://i.imgur.com/RISJXo3.jpg;http://i.imgur.com/exotIUc.jpg;http://i.imgur.com/aisZDhq.jpg;http://i.imgur.com/ChY9E0I.jpg	118.167.23.136	Taoyuan City
